iter	RMSE
0	14.71840575
1	14.34785772
2	13.98746982
3	13.63176282
4	13.29618472
5	13.00810676
6	12.71571986
7	12.45222923
8	12.17569951
9	11.89318809
10	11.61053204
11	11.36992996
12	11.13195881
13	10.89941461
14	10.66936244
15	10.4440695
16	10.23374723
17	10.03051913
18	9.827865763
19	9.638387029
20	9.472688178
21	9.304812998
22	9.15211651
23	9.001109346
24	8.847162835
25	8.713598104
26	8.573003354
27	8.434584113
28	8.307469845
29	8.179409489
30	8.076348522
31	7.972570623
32	7.859942297
33	7.755566479
34	7.643938825
35	7.549993116
36	7.448355772
37	7.363965773
38	7.274454546
39	7.193162925
40	7.117318797
41	7.046861141
42	6.970048937
43	6.902185532
44	6.834689126
45	6.774139254
46	6.711249957
47	6.654061363
48	6.593759089
49	6.533818001
50	6.484747839
51	6.427383269
52	6.381216592
53	6.332596032
54	6.285918782
55	6.239449203
56	6.202025099
57	6.164692594
58	6.129352898
59	6.096883372
60	6.065104778
61	6.028986704
62	5.996117057
63	5.960319733
64	5.931768044
65	5.903713519
66	5.87612325
67	5.849567225
68	5.83042076
69	5.806110625
70	5.780064529
71	5.760113687
72	5.743278383
73	5.717532297
74	5.699843571
75	5.6790715
76	5.661898887
77	5.643363881
78	5.628636473
79	5.610357994
80	5.59388208
81	5.57730486
82	5.558897396
83	5.543364998
84	5.524220337
85	5.504772217
86	5.488042322
87	5.476943399
88	5.4652153
89	5.452414759
90	5.440747912
91	5.431926963
92	5.416174758
93	5.40540457
94	5.395338066
95	5.383812357
96	5.375480258
97	5.367356502
98	5.358429154
99	5.351632555
100	5.342266749
101	5.333439285
102	5.331124373
103	5.322716718
104	5.31281215
105	5.306825569
106	5.294786141
107	5.286890529
108	5.279233977
109	5.266591792
110	5.253413504
111	5.243360368
112	5.23452306
113	5.222613266
114	5.215857547
115	5.212992641
116	5.208353613
117	5.201673294
118	5.19561889
119	5.190857453
120	5.185108036
121	5.182312357
122	5.17302259
123	5.167053005
124	5.161656373
125	5.152752397
126	5.145547641
127	5.142654535
128	5.135000618
129	5.131206969
130	5.125727182
131	5.119355498
